"PID","Lot Frontage","Lot Area","Street","Alley","Lot Shape","Land Contour","Utilities","Lot Config","Land Slope","Neighborhood","Condition 1","Condition 2","Bldg Type","House Style","Overall Qual","Overall Cond","Year Built","Year Remod/Add","MS Zoning","Roof Style","Roof Matl","Exterior 1st","Exterior 2nd","Mas Vnr Type","Mas Vnr Area","Foundation","Heating","Central Air","Electrical","1st Flr SF","2nd Flr SF","Low Qual Fin SF","Kitchen AbvGr","TotRms AbvGrd","Functional","Fireplaces","Fireplace Qu","Paved Drive","Wood Deck SF","Open Porch SF","Enclosed Porch","3Ssn Porch","Screen Porch","Fence","MS SubClass","Sale Type","Sale Condition","SalePrice","Full Bath","Half Bath","Bedroom","Gr Liv Area","Mo Sold","Yr Sold","Garage Type","Garage Yr Blt","Garage Finish","Garage Cars","Garage Area","Garage Qual","Garage Cond","Pool Area","Pool QC","Bsmt Qual","Bsmt Exposure","Bsmt Cond","BsmtFin Type 1","BsmtFin SF 1","BsmtFin Type 2","BsmtFin SF 2","Bsmt Unf SF","Total Bsmt SF","Bsmt Full Bath","Bsmt Half Bath","Misc Feature","Misc Val","Exter Cond","Exter Qual","Kitchen Qual","Heating QC"
"914475010","75","9750","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","6","6","1977","1977","A (agr)","Gable","CompShg","Plywood","Plywood","None","0","CBlock","GasA","true","SBrkr","926","0","0","1","5","Typ","1","TA","Y","319","0","0","0","0","MnPrv","85","WD ","Normal","156450","1","0","2","926","4","2009","Attchd","1977","Unf","1","351","TA","TA","0","NA","TA","Av","TA","ALQ","767","Unf","0","135","902","1","false","NA","0","3-","3-","3-","1-"
"905100080","75","11235","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Normal","1Fam","SFoyer","5","5","1964","1980","A (agr)","Gable","CompShg","HdBoard","HdBoard","BrkFace","30","CBlock","GasA","true","SBrkr","1452","0","0","1","6","Min2","1","TA","Y","92","0","88","0","0","NA","85","WD ","Normal","158450","1","0","2","1452","11","2007","Detchd","1964","Unf","2","572","TA","TA","0","NA","Gd","Av","TA","BLQ","785","Unf","0","635","1420","1","false","NA","0","3-","3-","3-","2-"
"907227110","60","7200","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","College Creek","Norm","Normal","1Fam","SFoyer","5","8","1972","2003","A (agr)","Gable","CompShg","WdShing","HdBoard","None","0","CBlock","GasA","true","SBrkr","768","0","0","1","5","Typ","0","NA","Y","192","0","0","0","0","MnPrv","85","WD ","Normal","133900","1","0","2","768","4","2009","Detchd","1974","Fin","1","396","TA","TA","0","NA","Gd","Av","TA","GLQ","660","Unf","0","108","768","0","true","NA","0","2-","3-","3-","2-"
"527358200","85","10625","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Northwest Ames","Norm","Normal","1Fam","SFoyer","7","6","1974","1974","A (agr)","Gable","CompShg","Plywood","Plywood","BrkFace","81","CBlock","GasA","true","SBrkr","1173","0","0","1","6","Typ","2","TA","Y","0","120","0","0","0","MnPrv","85","WD ","Family","170000","2","0","3","1173","1","2010","Attchd","1974","RFn","2","528","TA","TA","0","NA","Gd","Gd","TA","GLQ","885","LwQ","168","0","1053","1","false","NA","0","3-","3-","2-","3-"
"535478010","69","10205","Pave","NA","Slightly irregular","Lvl","AllPub","Inside","Gtl","North Ames","Norm","Normal","1Fam","SFoyer","5","5","1962","1962","A (agr)","Gable","CompShg","MetalSd","MetalSd","None","0","CBlock","GasA","true","SBrkr","999","0","0","1","6","Typ","0","NA","Y","150","72","0","0","0","NA","85","WD ","Normal","134500","1","0","3","999","5","2006","Attchd","1962","Unf","1","300","TA","TA","0","NA","TA","Av","TA","BLQ","784","Unf","0","141","925","1","false","NA","0","3-","3-","3-","3-"
"534425310","80","8800","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","North Ames","Adjacent to feeder street","Normal","1Fam","SFoyer","6","7","1963","1963","A (agr)","Gable","CompShg","MetalSd","MetalSd","BrkFace","156","PConc","GasA","true","SBrkr","1054","0","0","1","6","Typ","0","NA","Y","120","0","0","0","0","MnPrv","85","WD ","Abnorml","137500","1","0","3","1054","5","2010","Attchd","1963","RFn","2","480","TA","TA","0","NA","TA","Gd","TA","GLQ","763","Unf","0","173","936","1","false","NA","0","2-","3-","2-","1-"
"532354090","88","11782","Pave","NA","Slightly irregular","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Normal","1Fam","SFoyer","5","7","1961","1995","A (agr)","Gable","CompShg","HdBoard","HdBoard","None","0","CBlock","GasA","true","SBrkr","1155","0","0","1","6","Min2","0","NA","Y","192","0","0","0","0","MnPrv","85","WD ","Normal","148000","1","0","3","1155","6","2010","Detchd","1987","Unf","2","576","TA","TA","0","NA","TA","Av","TA","ALQ","899","Unf","0","210","1109","1","false","Shed","400","3-","3-","2-","3-"
"908128060","64","7301","Pave","NA","Regular","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Normal","1Fam","SFoyer","7","5","2003","2003","A (agr)","Gable","CompShg","HdBoard","HdBoard","BrkFace","500","Slab","GasA","true","SBrkr","495","1427","0","1","7","Typ","1","Ex","Y","0","0","177","0","0","NA","85","ConLD","Normal","198500","3","0","4","1922","7","2009","BuiltIn","2003","RFn","2","672","TA","TA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","false","NA","0","3-","2-","2-","1-"
"535478040","66","6760","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","North Ames","Norm","Normal","1Fam","SFoyer","5","5","1962","1962","A (agr)","Gable","CompShg","HdBoard","HdBoard","None","0","CBlock","GasA","true","SBrkr","936","0","0","1","6","Typ","1","Po","Y","24","90","160","0","0","NA","85","WD ","Normal","130000","1","0","3","936","10","2007","Attchd","1962","RFn","1","288","TA","TA","0","NA","TA","Av","TA","ALQ","734","Unf","0","162","896","1","false","NA","0","3-","3-","3-","3-"
"532479120","0","16647","Pave","NA","Slightly irregular","Lvl","AllPub","CulDSac","Gtl","Sawyer","Adjacent to East-West Railroad","Normal","1Fam","SFoyer","5","5","1975","1981","A (agr)","Gable","CompShg","HdBoard","HdBoard","None","0","CBlock","GasA","true","SBrkr","1701","0","0","1","6","Min2","2","TA","Y","0","0","0","0","0","NA","85","WD ","Normal","171000","2","0","3","1701","1","2007","Basment","1975","Fin","2","611","TA","TA","0","NA","Gd","Gd","TA","ALQ","1390","Unf","0","0","1390","1","false","NA","0","3-","3-","3-","3-"
"908102160","75","9825","Pave","NA","Regular","Low","AllPub","Inside","Gtl","Edwards","Norm","Normal","1Fam","SFoyer","5","5","1967","1967","A (agr)","Gable","CompShg","HdBoard","HdBoard","BrkFace","162","CBlock","GasA","true","SBrkr","936","0","0","1","4","Typ","1","Fa","Y","405","0","0","0","0","NA","85","WD ","Abnorml","118500","1","0","2","936","8","2007","Attchd","1967","Unf","1","384","TA","TA","0","NA","Gd","Gd","TA","ALQ","936","Unf","0","0","936","1","false","Shed","450","3-","3-","3-","2-"
"905300010","72","10820","Pave","NA","Regular","Lvl","AllPub","Corner","Gtl","Sawyer","Adjacent to feeder street","Normal","1Fam","SFoyer","5","7","1971","1972","A (agr)","Gable","CompShg","HdBoard","HdBoard","BrkFace","153","PConc","GasA","true","SBrkr","810","0","0","1","4","Typ","0","NA","Y","0","0","0","0","0","MnPrv","85","WD ","Normal","130000","1","0","2","810","6","2006","Detchd","1973","Unf","2","576","TA","TA","0","NA","Gd","Av","TA","GLQ","535","Rec","159","88","782","1","false","NA","0","3-","3-","3-","1-"
"908103260","64","12102","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Normal","1Fam","SFoyer","5","5","1976","1976","A (agr)","Gable","CompShg","HdBoard","Plywood","BrkFace","222","CBlock","GasA","true","SBrkr","1033","0","0","1","6","Typ","0","NA","Y","224","0","0","0","0","NA","85","WD ","Family","165000","1","0","3","1033","4","2008","BuiltIn","1976","RFn","2","504","Fa","TA","0","NA","Gd","Gd","Gd","ALQ","456","Unf","0","0","456","0","true","NA","0","3-","3-","3-","1-"
"914452090","0","12150","Pave","NA","Slightly irregular","Bnk","AllPub","CulDSac","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","6","6","1979","1979","A (agr)","Gable","CompShg","HdBoard","Wd Shng","None","0","CBlock","GasA","true","SBrkr","1299","0","0","1","5","Typ","1","Po","Y","84","0","222","0","0","MnPrv","85","WD ","Normal","183500","2","0","2","1299","1","2007","BuiltIn","1979","RFn","2","486","TA","TA","0","NA","Gd","Av","TA","GLQ","1001","Unf","0","0","1001","1","false","NA","0","3-","3-","2-","3-"
"535101020","75","11380","Pave","NA","Slightly irregular","Lvl","AllPub","Inside","Gtl","North Ames","Norm","Normal","1Fam","SFoyer","6","8","1966","2008","A (agr)","Gable","CompShg","HdBoard","HdBoard","BrkFace","216","CBlock","GasA","true","SBrkr","1128","0","0","1","5","Typ","1","Gd","Y","238","0","0","0","0","NA","85","WD ","Normal","178000","1","0","2","1128","1","2010","Attchd","1966","Unf","1","315","TA","TA","0","NA","TA","Gd","TA","GLQ","944","Unf","0","136","1080","1","false","Shed","1500","3-","3-","2-","2-"
"923204040","150","14137","Pave","NA","Regular","Lvl","AllPub","Corner","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","4","5","1964","1964","A (agr)","Gable","CompShg","HdBoard","HdBoard","BrkFace","98","CBlock","GasA","true","SBrkr","1200","0","0","1","6","Typ","0","NA","Y","0","119","0","0","171","NA","85","ConLD","Normal","173000","1","0","3","1200","11","2008","2Types","1964","Fin","3","850","TA","TA","0","NA","Gd","Av","TA","ALQ","865","LwQ","247","88","1200","1","false","NA","0","3-","3-","3-","2-"
"905108170","0","7400","Pave","NA","Slightly irregular","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Normal","1Fam","SFoyer","5","5","1984","1984","A (agr)","Gable","CompShg","VinylSd","VinylSd","None","0","PConc","GasA","true","SBrkr","1126","0","0","1","5","Typ","0","NA","Y","178","0","0","0","0","NA","85","WD ","Normal","152000","1","0","2","1126","3","2008","Attchd","1984","Unf","2","506","TA","TA","0","NA","Gd","Av","TA","LwQ","104","ALQ","956","0","1060","1","false","NA","0","3-","3-","3-","3-"
"908128050","90","10012","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Normal","1Fam","SFoyer","4","5","1972","1972","A (agr)","Gable","CompShg","Plywood","Plywood","None","0","CBlock","GasA","true","SBrkr","1181","0","0","1","6","Typ","0","NA","Y","0","0","180","0","0","MnPrv","85","WD ","Normal","137500","2","0","3","1181","4","2008","Detchd","1974","RFn","2","588","TA","TA","0","NA","Gd","Av","TA","BLQ","920","Rec","180","38","1138","1","false","NA","0","3-","3-","3-","3-"
"914452120","0","7540","Pave","NA","Slightly irregular","Lvl","AllPub","CulDSac","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","6","6","1978","1978","A (agr)","Gable","CompShg","VinylSd","VinylSd","None","0","CBlock","GasA","true","SBrkr","912","0","0","1","5","Typ","1","TA","Y","0","0","0","0","192","MnPrv","85","WD ","Normal","156000","1","0","2","912","6","2007","Attchd","1978","RFn","2","470","TA","TA","0","NA","Gd","Av","TA","GLQ","773","Unf","0","115","888","1","false","NA","0","3-","3-","3-","1-"
"527452310","68","7838","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","North Ames","Norm","Normal","1Fam","SFoyer","5","5","1967","1967","A (agr)","Gable","CompShg","HdBoard","HdBoard","None","0","CBlock","GasA","true","SBrkr","900","0","0","1","6","Typ","1","Po","Y","175","144","0","0","0","MnWw","85","WD ","Normal","123000","1","0","3","900","12","2006","Attchd","1967","RFn","1","288","TA","TA","0","NA","TA","Av","TA","ALQ","769","Unf","0","95","864","1","false","NA","0","3-","3-","3-","3-"
"914478100","82","8410","Pave","NA","Slightly irregular","Lvl","AllPub","Corner","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","6","6","1974","1974","A (agr)","Gable","CompShg","Plywood","Plywood","None","0","CBlock","GasA","true","SBrkr","1026","0","0","1","5","Typ","1","Po","Y","193","0","0","0","0","NA","85","WD ","Normal","143000","1","0","2","1026","4","2007","Attchd","1974","Unf","2","528","TA","TA","0","NA","Gd","Av","TA","ALQ","924","Unf","0","46","970","1","false","NA","0","3-","3-","3-","3-"
"534201300","70","8400","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","North Ames","Adjacent to feeder street","Normal","1Fam","SFoyer","5","6","1968","1968","A (agr)","Gable","CompShg","HdBoard","HdBoard","None","0","CBlock","GasA","true","SBrkr","898","0","0","1","6","Typ","0","NA","Y","143","0","0","0","0","NA","85","WD ","Normal","140000","1","0","3","898","8","2006","Attchd","1968","RFn","1","326","TA","TA","0","NA","Gd","Gd","TA","GLQ","744","Unf","0","89","833","1","false","NA","0","3-","3-","3-","2-"
"907125020","57","8846","Pave","NA","Slightly irregular","Lvl","AllPub","CulDSac","Gtl","College Creek","Norm","Normal","1Fam","SFoyer","5","5","1996","1996","A (agr)","Gable","CompShg","VinylSd","VinylSd","None","0","PConc","GasA","true","SBrkr","914","0","0","1","5","Typ","0","NA","Y","0","0","0","0","0","NA","85","WD ","Normal","148000","1","0","2","914","7","2006","Detchd","1998","Unf","2","576","TA","TA","0","NA","Gd","Av","TA","GLQ","298","Unf","0","572","870","0","false","NA","0","3-","2-","3-","1-"
"905107310","0","8014","Pave","NA","Slightly irregular","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Normal","1Fam","SFoyer","6","5","1978","1978","A (agr)","Gable","CompShg","Plywood","HdBoard","BrkFace","23","CBlock","GasA","true","SBrkr","1034","0","0","1","5","Typ","1","Fa","Y","0","0","0","0","0","NA","85","WD ","Normal","149900","1","0","3","1034","6","2009","Basment","1978","Fin","2","504","TA","TA","0","NA","Gd","Gd","TA","GLQ","456","Unf","0","0","456","0","true","NA","0","3-","3-","3-","3-"
"534251030","0","16500","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Northwest Ames","Norm","Normal","1Fam","SFoyer","6","5","1971","1971","A (agr)","Hip","CompShg","HdBoard","HdBoard","BrkFace","509","CBlock","GasA","true","SBrkr","1320","0","0","1","5","Typ","1","Gd","Y","0","20","0","0","0","NA","85","WD ","Normal","172500","2","0","3","1320","5","2009","Attchd","1971","RFn","2","495","TA","TA","0","NA","Gd","Av","TA","GLQ","962","Unf","0","270","1232","0","true","NA","0","3-","3-","3-","4-"
"527358090","0","9927","Pave","NA","Slightly irregular","Lvl","AllPub","Inside","Gtl","Northwest Ames","Norm","Normal","1Fam","SFoyer","7","5","1976","1976","A (agr)","Gable","CompShg","VinylSd","Wd Shng","Stone","252","CBlock","GasA","true","SBrkr","1083","0","0","1","5","Typ","1","Fa","Y","444","0","40","0","0","NA","85","WD ","Normal","172000","1","0","2","1083","7","2006","Attchd","1976","RFn","2","596","TA","TA","0","NA","Ex","Gd","TA","GLQ","1005","Unf","0","42","1047","1","false","NA","0","3-","2-","3-","3-"
"923276260","70","7669","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","5","6","1992","1993","A (agr)","Gable","CompShg","HdBoard","Wd Shng","None","0","PConc","GasA","true","SBrkr","883","0","0","1","5","Typ","1","Fa","Y","100","32","0","0","0","GdPrv","85","WD ","Normal","149000","1","0","2","883","6","2009","Detchd","1998","Unf","2","698","TA","TA","0","NA","Gd","Av","TA","GLQ","718","LwQ","110","0","828","1","false","NA","0","3-","3-","3-","3-"
"535102010","0","10050","Pave","NA","Slightly irregular","Lvl","AllPub","Inside","Gtl","North Ames","Norm","Normal","1Fam","SFoyer","5","6","1966","1966","A (agr)","Gable","CompShg","HdBoard","HdBoard","BrkFace","87","CBlock","GasA","true","SBrkr","1280","0","0","1","6","Typ","1","TA","Y","140","40","0","0","0","NA","85","WD ","Normal","175000","2","0","3","1280","6","2007","Basment","1966","Fin","2","432","TA","TA","0","NA","TA","Av","TA","GLQ","602","Unf","0","191","793","0","true","NA","0","3-","3-","3-","1-"
"905108190","0","7252","Pave","NA","Slightly irregular","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Normal","1Fam","SFoyer","5","5","1982","1982","A (agr)","Hip","CompShg","Wd Sdng","Wd Sdng","None","0","CBlock","GasA","true","SBrkr","858","0","0","1","5","Typ","0","NA","Y","120","0","0","0","0","NA","85","WD ","Normal","134900","1","0","2","858","4","2009","Detchd","1983","Unf","2","576","TA","TA","0","NA","Gd","Av","TA","GLQ","685","Unf","0","173","858","1","false","NA","0","3-","3-","3-","3-"
"907125090","82","11105","Pave","NA","Regular","Lvl","AllPub","Corner","Gtl","College Creek","Norm","Normal","1Fam","SFoyer","5","5","1996","1996","A (agr)","Gable","CompShg","VinylSd","VinylSd","None","0","PConc","GasA","true","SBrkr","965","0","0","1","4","Typ","0","NA","Y","71","0","0","0","0","GdPrv","85","WD ","Normal","159000","1","0","2","965","7","2010","Attchd","1998","Unf","2","580","Gd","TA","0","NA","Gd","Av","Fa","GLQ","870","Unf","0","0","870","1","false","NA","0","2-","3-","3-","2-"
"905107280","0","7703","Pave","NA","Slightly irregular","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Normal","1Fam","SFoyer","6","8","1978","1978","A (agr)","Gable","CompShg","HdBoard","HdBoard","BrkCmn","40","CBlock","GasA","true","SBrkr","1034","0","0","1","6","Typ","1","Po","Y","311","0","0","0","0","GdWo","85","WD ","Normal","153000","1","0","3","1034","5","2008","Basment","1978","Fin","2","504","TA","TA","0","NA","Gd","Gd","TA","ALQ","450","Unf","0","0","450","0","true","NA","0","3-","3-","3-","1-"
"905104030","70","8400","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Normal","1Fam","SFoyer","6","5","1966","1966","A (agr)","Gable","CompShg","VinylSd","VinylSd","None","0","CBlock","GasA","true","SBrkr","913","0","0","1","6","Typ","0","NA","Y","0","0","252","0","0","NA","85","WD ","Normal","129000","1","0","3","913","5","2007","Detchd","1990","Unf","1","240","TA","TA","0","NA","TA","Gd","TA","LwQ","187","Rec","627","0","814","1","false","NA","0","3-","3-","3-","2-"
"534252090","0","12122","Pave","NA","Slightly irregular","Lvl","AllPub","Corner","Gtl","North Ames","Norm","Normal","1Fam","SFoyer","7","9","1961","2007","A (agr)","Gable","CompShg","CemntBd","CmentBd","Stone","210","CBlock","GasA","true","SBrkr","999","0","0","1","6","Typ","0","NA","Y","144","76","0","0","0","NA","85","WD ","Normal","178400","1","0","3","999","7","2008","Attchd","1961","RFn","2","588","TA","TA","0","NA","TA","Av","TA","ALQ","867","Unf","0","77","944","1","false","NA","0","3-","1-","1-","2-"
"923230180","54","7244","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","5","7","1970","1970","A (agr)","Gable","CompShg","VinylSd","VinylSd","None","0","CBlock","GasA","true","SBrkr","768","0","0","1","5","Typ","0","NA","Y","104","0","0","0","0","NA","85","WD ","Normal","129500","1","0","2","768","4","2007","Detchd","1987","Unf","2","624","TA","TA","0","NA","Gd","Av","TA","ALQ","619","Unf","0","149","768","1","false","NA","0","2-","3-","3-","1-"
"914475030","72","9360","Pave","NA","Regular","Bnk","AllPub","Inside","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","6","7","1977","1977","A (agr)","Gable","CompShg","Plywood","Plywood","None","0","CBlock","GasA","true","SBrkr","1287","0","0","1","5","Typ","2","Fa","Y","302","39","0","0","120","GdWo","85","WD ","Normal","173000","1","1","2","1287","11","2009","Attchd","1977","RFn","2","541","TA","TA","0","NA","Gd","Av","TA","GLQ","841","LwQ","116","0","957","1","false","NA","0","3-","3-","3-","3-"
"905100020","0","11235","Pave","NA","Regular","Lvl","AllPub","Corner","Gtl","Sawyer","Adjacent to feeder street","Normal","1Fam","SFoyer","5","6","1963","1963","A (agr)","Gable","CompShg","HdBoard","Wd Sdng","None","0","CBlock","GasA","true","SBrkr","1075","0","0","1","6","Typ","0","NA","Y","64","0","0","0","64","MnPrv","85","WD ","Abnorml","148000","1","0","3","1075","5","2008","Detchd","1996","Unf","2","440","TA","TA","0","NA","Gd","Av","TA","ALQ","784","Unf","0","197","981","1","false","NA","0","3-","3-","2-","3-"
"531453140","0","9180","Pave","NA","Slightly irregular","Lvl","AllPub","CulDSac","Gtl","Sawyer West","Norm","Normal","1Fam","SFoyer","5","7","1983","1983","A (agr)","Gable","CompShg","HdBoard","HdBoard","None","0","CBlock","GasA","true","SBrkr","884","0","0","1","5","Typ","0","NA","Y","240","0","0","0","0","MnPrv","85","WD ","Normal","144000","1","0","2","884","12","2007","Attchd","1983","RFn","2","504","TA","Gd","0","NA","Gd","Av","TA","ALQ","747","LwQ","93","0","840","1","false","NA","0","3-","3-","2-","2-"
